gene_id,9JD4 B Memory,9JD4 B Naive,9JD4 Basophils LD,9JD4 CD4+ effector,9JD4 CD8 activated,9JD4 MAIT,9JD4 mDCs,9JD4 Monocytes C,9JD4 Monocytes NC+I,9JD4 Naive T cells,9JD4 Neutrophils LD,9JD4 NK,9JD4 pDCs,9JD4 Plasmablasts,9JD4 VD2-,9JD4 VD2+,925L B Memory,925L B Naive,925L Basophils LD,925L CD4+ effector,925L CD8 activated,925L MAIT,925L mDCs,925L Monocytes C,925L Monocytes NC+I,925L Naive T cells,925L Neutrophils LD,925L NK,925L pDCs,925L Plasmablasts,925L VD2-,925L VD2+,DZQV B Memory,DZQV B Naive,DZQV Basophils LD,DZQV CD4+ effector,DZQV CD8 activated,DZQV MAIT,DZQV mDCs,DZQV Monocytes C,DZQV Monocytes NC+I,DZQV Naive T cells,DZQV Neutrophils LD,DZQV NK,DZQV pDCs,DZQV Plasmablasts,DZQV VD2-,DZQV VD2+,G4YW B Memory,G4YW B Naive,G4YW Basophils LD,G4YW CD4+ effector,G4YW CD8 activated,G4YW MAIT,G4YW mDCs,G4YW Monocytes C,G4YW Monocytes NC+I,G4YW Naive T cells,G4YW Neutrophils LD,G4YW NK,G4YW pDCs,G4YW Plasmablasts,G4YW VD2-,G4YW VD2+
38596,0.13636100504868373,0.08387209505778512,0.0,0.0,0.0,0.17131179915168376,0.013617708172342143,0.0,0.03442314538148473,0.0,1.1142908660038124,0.0,0.0,0.04198650249858328,0.0,0.0,0.0,0.05233066762832072,0.030008757920766575,0.0,0.0,0.0,0.0,0.0,0.03917949398966222,0.0,1.0066199577559116,0.0,0.0,0.03822574828705373,0.0,0.0,0.128105135928082,0.35994085512510093,0.02816272560232171,0.0,0.0,0.0,0.0,0.20663541291020557,0.035817597049782775,0.05426317488365704,1.0002747582985594,0.0,0.14958013497501418,0.0,0.0,0.015300602751017465,0.0,0.052917112668074806,0.0,0.0,0.0,0.0,0.0,0.02505452234987035,0.014288636606391566,0.06841910585063453,0.878814417941717,0.0,0.09780536809025811,0.0,0.09892157367815499,0.0
AATK,0.0022429109551002587,0.003855860900178071,0.0,0.001155032681771974,0.0,0.0,0.0026144325958068104,0.05946060271131397,0.02691313912301888,0.0,0.8433973978481418,0.07484154437098745,0.0,0.0,0.0,0.0,0.00131568493631073,0.030063132979920994,0.0,0.04849250744008023,0.0008765506409862797,0.025707677507828968,0.017908044565432452,0.08958934577781416,0.0748087957372195,0.13624413390916348,1.6366075144469234,0.011434731290637302,0.0,0.0,0.0,0.04102858000559456,0.031494323046168754,0.008979224970833248,0.0,0.0015859602568038698,0.0,0.0,0.0028054662927864313,0.21391407577215138,0.024507862641313764,0.0,0.3846818265550484,0.31684303170477107,0.0,0.0,0.0,0.0,0.0,0.009380355464587127,0.00470488705132666,0.007408954808249926,0.002649460807390275,0.0,0.002396108370687244,0.17293461871720872,0.10141329426421325,0.0,1.1353132611498864,0.04966330310907342,0.0,0.0,0.0,0.0036296402426127953
ABC7-481722F1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02363379074260013,0.34699689384464527,0.03578480838133489,0.0,0.4578496479886323,0.0,0.0,0.0,0.0,0.0,0.01032592527611901,0.0,0.0,0.0,0.0,0.0,0.09021942726957788,0.42517923514594236,0.15918049541122795,0.0,1.5859418579388986,0.0,0.0,0.0,0.0,0.0,0.0,0.09572845047473093,0.0,0.0,0.0,0.0,0.04271110406501201,0.0,0.09322670994145865,0.0,0.6286001162606353,0.0,0.0,0.0,0.0,0.0,0.0,0.02412177462464843,0.0,0.0,0.0,0.0,0.0,0.21908083637196357,0.24462637939133447,0.0,1.327608377811834,0.0,0.0,0.0,0.0,0.0
ABCB4,0.2632882294190613,1.2830475192501656,0.0036090835370602738,0.004936770737879208,0.00023908564533306348,0.0,0.1867402120337209,0.0,0.02679740442452222,0.0,0.0,0.0,0.0187058729464636,0.00588788839206329,0.0018502115472275255,0.0,0.1937929452926087,1.0380966609917295,0.0,0.0047045422013760035,0.07255546714159052,0.0,0.09454112598346015,0.007541368584902066,0.01313385178210986,0.0006775298845589013,0.0,0.04034866396915925,0.038702209896120075,0.003719159413920646,0.0044850064720768495,0.0,0.241611796561892,0.8166760649570358,0.0,0.02034772606331769,0.005128192184200809,0.0,0.14487156414791524,0.002751896921509294,0.0009629939349278614,0.03796601179413253,0.0,0.12246058402713018,0.0,0.0,0.022790390589963353,0.004107938042831746,0.15252958649113854,0.8621797548010686,0.0,0.005832462307354975,0.03594973105731673,0.02987506138789154,0.07267818320704376,0.0,0.005140606452595604,0.0005314580319713412,0.011295658597820703,0.01879252842399198,0.026474419404886013,0.0,0.0,0.0017026630314359633
ABCC3,0.054553403149246726,0.04778766847517663,0.10355714492359239,0.04158567886326994,0.05170576753710833,0.03818374350525679,0.04026613853827303,0.21265634118145135,0.8028784289206686,0.056605819769819564,0.06059799551769388,0.052179898593879656,0.047095434064418525,0.006581748566168776,0.04090976063421249,0.022960355608991782,0.054017917985022305,0.07957988214550263,0.06712723412265548,0.025579771557566452,0.029535815724733426,0.0473399804551834,0.21830791329195004,0.2840713887078247,1.257657513452964,0.07132176819216368,0.0535616607159315,0.07347943914411857,0.05003449160741479,0.007099346755210998,0.03661744637667685,0.01741530370551337,0.09693308672323159,0.10050556689481523,0.07702911252172406,0.03742703360741585,0.03066826312696224,0.03444353398269951,0.06590600245343702,0.19124127871655663,1.0142383700633653,0.04876375214250381,0.03566176508270613,0.02095747566008927,0.04966992244817636,0.010979082746118784,0.029761145727624803,0.017547328750834285,0.029183794576868885,0.12258475145402546,0.051680303820108464,0.03877964127332986,0.041657676228262684,0.033055770722223994,0.03500764099452524,0.19263804368466766,0.9252256875630023,0.04129117372726683,0.02852041035852939,0.06558044069395248,0.038245255174099484,0.011430668412500549,0.013819121505124368,0.02329041822229407
AC002480.4,0.12158736818252931,1.4698431076564469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03899683648005603,0.0,0.0,0.0,0.0,0.0,0.0,0.9083181394109331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048624616252436616,0.4308308522619982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01262924111387916,0.0,0.0,0.0,1.1910079006706218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002480.5,0.13263524289624157,1.045357123697555,0.0,0.0,0.0005503917321710394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08075007498155166,1.1806469573670468,0.0,0.0,0.0,0.0,0.02638670298723971,0.005785491026064685,0.0,0.0,0.0,0.0067006737879311135,0.0,0.0,0.0,0.0,0.17990768047906538,0.8170990272009745,0.0,0.0,0.0,0.0,0.0,0.0,0.010070416767568919,0.0,0.012799758907222757,0.0,0.0,0.0,0.0,0.0,0.006321611071853328,0.9568968917344232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002511.3,0.0,0.0,0.14174132760110061,0.0,0.0,0.0,0.0,0.0,0.02325001816244099,0.0,0.4170485033367652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0910807842898219,0.0,0.0,0.0,0.0,0.18778840137185002,0.08757692144434741,0.0,1.0547435209991913,0.0,0.0,0.0,0.0,0.0,0.03434069470622466,0.05831246959481661,0.2090880778384886,0.0,0.0,0.0,0.016248098753391768,0.2415690368001341,0.1466354813104006,0.0,1.5040444051205322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16839354304746143,0.0,0.0,0.0,0.0,0.025467418561881353,0.02299288156507478,0.0,1.0241635705435115,0.0,0.0,0.0,0.0,0.0
AC007381.3,0.1356063063067863,0.08908853929956828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8821715958553671,0.017487852779985463,0.0,0.0,0.15203134818972008,0.19786983067744707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2488481786200045,0.01834626126106126,0.0,0.0,0.002323916580455815,0.10157111185506512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8030855344850807,0.0,0.0,0.0,0.022344226886241634,0.1315726900005772,0.0,0.0,0.0,0.0,0.0,0.0,0.013210558590078868,0.0,0.0,0.003226431877146946,1.0658946910395475,0.009300411888069453,0.0,0.0
AC008074.5,0.012153692747215472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9142257273107413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6656256670731243,0.0,0.0,0.0,0.0,0.0,0.02639329240099538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3811871489185008,0.0,0.0,0.0,0.0,0.0,0.0,0.044265840528219566,0.0,0.0,0.0,0.0,0.0,0.08826272958281063,0.03198159854260057,0.0,2.038961456697633,0.0,0.0,0.0,0.0,0.0
