,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,nmf_cluster,nmf_cluster_loading
2113,0.0052688561825594196,0.009640449619681218,0.0031758008374648773,0.0,0.0027748907134077525,0.0,0.0,0.005650494148325763,0.0,0.04427771785265327,0.005573596634981819,0.0,0.022686770267301738,0.020280595568476993,0.0016951949047408741,0.0,0.0,0.01341050893795592,0.0047028570376314895,0.004576095109558422,10.0,0.04427771785265327
2114,0.009361891527037487,0.0,0.0067111025917736536,0.0009675575134192263,0.0016804496274624217,0.00689006878999962,3.152143518538131e-05,0.021156771743308597,0.0010723377752640817,0.006187031300472586,0.005079171113749762,0.0035963503964960898,0.012041398892338438,0.005715007315058488,0.008304925460578384,0.00014712072573055588,0.0003772148683137855,0.00811882391911522,0.00028466969859133716,0.00263831328335805,8.0,0.021156771743308597
2115,0.0,0.007231642873620607,0.016604423057814087,0.007409208459243316,0.0,0.006723404576446842,9.326809069688236e-06,0.005558285088287408,0.04947779399848807,0.010524564243374352,0.0,0.011155956779327044,0.012424335658840598,0.0,0.010498190211235476,0.0,0.00452784976611233,0.00018727922498731442,1.3549844823572803e-05,4.362811642101088e-05,9.0,0.04947779399848807
2116,0.0231245474124846,0.006662427604520403,0.0056697454043529594,0.001859246198162406,0.0015904185868195239,0.0,0.0028167490183696234,0.014437136985120563,0.005572648422874713,0.003733683727026001,0.0,0.0,0.01627180277225504,0.017847169055875613,0.02253806674162369,0.0,0.0,0.0021342280485114992,0.0054312620981917335,0.0,1.0,0.0231245474124846
2117,0.016182878639278163,0.009096802853627791,0.004888720102837343,0.0,0.0,0.0,0.0,0.02129183889021931,0.003229395296205721,0.006786313391615871,0.0030037513401593315,0.0007481404739893138,0.016366879230003344,0.01818750472173963,0.02253619809860966,0.0,0.0016133593517875088,0.0035943202273440622,0.00031445231509508425,0.0016794963560453004,15.0,0.02253619809860966
2118,0.0008102038278893711,0.00749789913071872,0.009469427080746256,0.0004761523552912885,0.0021126416791974996,0.0,0.00016895199027692765,0.004477489388999241,0.04188579337357292,0.0,0.0,0.0,0.018684942588185524,0.0,0.01622775256675608,0.0,0.03931346573685256,0.022115577868090455,0.015234950518412598,0.004628424608412224,9.0,0.04188579337357292
2119,0.0,0.01606539660748792,0.0022090220469955647,0.0036588846312439662,0.00013183556250716223,0.012424213675275554,0.002199587290250442,0.006017738926174915,0.018396094917296477,0.007536226554240107,0.0,0.075886336143031,0.0,0.007046033984180994,0.0,0.0,0.006853948930375046,0.005913186832061583,0.004432043461175532,0.0004034683403851464,12.0,0.075886336143031
2120,0.0003861124476492123,0.009976032662555354,0.0,0.02758999858075695,0.02546307276721402,0.0,0.0,0.0,0.0,0.0028752217701194308,0.0036203070854547797,0.0005791448399283529,0.011183727082952318,0.0,0.0,0.027639729071599093,0.0009385586495463497,0.029040017280021826,0.0014926651300929761,0.003683494965353447,18.0,0.029040017280021826
2121,0.00189189694229941,0.009648264430374188,0.0,0.0,0.0026037698933271134,0.0,0.03643709232594063,0.0,0.0,0.0,0.005454629200990059,0.0,0.0,0.005204089764466955,0.012674651293383814,0.0,7.76974082737203e-05,0.0007222214061765182,0.0006784108831689184,0.020679074415813212,7.0,0.03643709232594063
2122,0.020806345005896825,0.006458946252785462,0.009508200408446906,0.0,0.0030170995203976495,0.007677530411013037,0.0,0.03033247960760045,0.0,0.003652229910473678,0.0032899986486672576,0.005785046920360256,0.02400878803391084,0.0,0.00982267894875192,0.0,0.0003601752811538422,0.010626515603666157,0.0006978256758566501,0.008601060250774355,8.0,0.03033247960760045
2123,0.010490703438379914,0.01495144888858615,0.0009002307872020484,0.0,0.0,0.0030548854301798247,0.001413504997523246,0.014324651700261724,0.0,0.0,0.0,0.004025791271543322,0.0,0.030935525753140236,0.02063504314078826,0.0,1.7831541517575755e-05,0.00033210013618685216,0.013224805333497033,0.0,14.0,0.030935525753140236
2124,0.004912328338687403,0.015420109201747753,0.0,0.0,0.0027460095233097933,0.00500154847970001,7.57745674269934e-05,0.016714683705437227,0.0015806826795746818,0.0455688957857427,0.010266276007478202,0.0,0.025590135253843314,0.0,0.0161597767632321,0.0,0.0024083327644709896,0.010812019887532998,0.024421811842686703,0.0006096217137615066,10.0,0.0455688957857427
2125,0.017708918872189495,0.022849218403838113,0.02748442026173697,0.0,0.0,0.021142319405478782,0.0,0.0,0.0,0.0,0.008085967816678405,0.0,0.0,0.017072106353706287,0.016191329005533182,0.002597328212309719,0.0,0.007819692188484523,0.008842500407237818,0.003458673720484592,3.0,0.02748442026173697
2126,0.014348732732883118,0.008071498441376434,0.002505418848704979,0.0021666837827919567,0.0,0.0,0.03395082796758552,0.01110032859521702,0.0,0.0017351595800460177,0.007686421020467939,0.0020861478586624055,0.008211906345611163,0.009682476599303566,0.006057077978348029,0.0,0.0008991520449932395,0.0300080544455145,0.007869051138115256,0.020532542450673905,7.0,0.03395082796758552
2127,0.028727300590338976,0.0,0.0,0.0003888628279693936,0.0,0.0,0.0016847438163275696,0.008763530298045235,0.0008853370361101521,0.006217958698351235,0.009018701928349544,2.3987328039022753e-06,0.01883402839566598,0.016570070905286338,0.0029087809609980113,0.00806039091008527,0.0002075971044779769,0.014301821140645972,0.009964611157396885,0.002954907682895807,1.0,0.028727300590338976
2128,0.0,0.01126135569385669,0.0,0.013214575576009217,0.008884527033628537,0.0,1.796658618257635e-06,0.0018018097315442517,6.614738536537173e-06,0.0,0.005502834550727812,0.0004937987944306225,0.0,0.009713351633446367,0.002456064149844006,0.05569211964997607,0.0,0.02693596114091762,0.005934322614846468,0.004065951000397176,16.0,0.05569211964997607
2129,0.007071087233761585,0.01307753475090149,0.0,0.0,0.0,0.0,0.0,0.011396055085721973,0.0,0.0486905904517053,0.005230665788945164,0.0,0.024858540160178726,0.008072410108949664,0.012617268929218457,0.005434640970277527,0.0,0.006023126778630364,0.0011802030264179508,0.0020892740758974666,10.0,0.0486905904517053
2130,0.000464417618440849,0.0,0.0,0.015397267959979125,0.03255337957479217,0.0,0.002004762837847481,0.008380589525861765,0.000687285453916731,0.0,0.004199053497722504,0.0,0.0,0.0,0.0,0.009201700652211266,0.0,0.009483333558306873,0.013847278234275097,0.004430211344506641,5.0,0.03255337957479217
