,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,theme_21,theme_22,theme_23,theme_24,theme_25,theme_26,list_cell_codes
6160,2.0435073516548785,0.0,1.2737383954986827,0.0,0.9288662336819427,0.0,0.0,0.33226922286876237,1.1784407826221346,0.0,0.0,0.0,0.0,0.0,3.1862115612360586,0.0,0.3358263754125908,0.0,0.5661836368055168,0.8279374086950962,0.0,0.0,0.7188964471325202,0.19473353870003968,1.0738090574491301,0.21485562675139336,1.0
6161,2.354875828693997,0.0,1.3716063143902801,0.0,0.7395111465078084,0.0,0.0,1.0046275285559247,1.2703820454547516,0.0,0.0,0.0,0.0,0.0,3.3458025114990897,0.0,0.4653632296186996,0.0,0.6652730369133888,1.4241804570920054,0.0,0.0,0.8275133113899301,0.6294754153123477,0.8410281864600365,0.3838105654939374,1.0
6162,0.0,0.49892840076063855,0.0,0.0,0.0,0.0,0.05585377870343301,0.0,0.0,0.0,0.4039157953153627,0.0,1.3254247776270596,1.5493751973418757,0.0,0.47096372282829135,1.6124648977104372,0.4476917956904585,0.6583504693329588,0.0,0.251851017521796,0.014566479603761687,1.3008995772932057,0.0,0.22287478629803636,0.0,2.0
6163,1.8812047849848506,0.0,1.0666004627849113,0.0,0.6893676792133943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11580810468380547,0.0,3.1065665361743795,0.0,0.4496174182296276,0.0,0.3370020187101578,0.41365689607439327,0.519943138226055,0.05290498619847602,0.38590473495101896,1.0045063881992498,0.7206311454835835,0.0,1.0
6164,0.0,0.7738303254458796,0.7721090074099932,0.0,0.6969880505797678,0.0,0.15842897720726934,0.0,0.0,0.7885623531780692,0.9688262611926681,0.0,0.0,1.718696090223594,0.0,0.0,1.2253022267313618,0.0,1.4100836708985673,0.0,0.0007253659724614694,0.19720541056105248,0.0,0.0,0.45764570619724637,2.826227848683946,5.0
6165,0.0,0.0,0.0,1.1096633659172552,0.7712028187329749,0.0,0.009199584209672823,0.3311637289936173,0.029177614477816728,0.693870896428224,0.0,0.3359325708978404,0.0,1.1986564177490995,0.5300423952057117,1.6728501399846962,0.0,0.0,0.2526711885529022,0.0,0.0,0.0,0.0,0.6651280727494575,0.0,0.31475888351332587,0.0
6166,0.0,0.0,0.0,1.1030508331266118,1.102639933398068,0.19568806581123643,0.5694924062770479,0.0,0.0,0.03550120307716681,0.0,0.0,0.0,1.1986243472796052,0.31720323923566907,1.653517530583091,0.0,0.0,0.0,0.0,1.0484198086120031,0.16865445210371902,0.0,0.5359888725940208,0.5512781992968119,0.24110344379279977,0.0
6167,0.0,0.0,0.0,1.342030921378237,0.0,0.872886313347852,0.031783369533439444,0.5954664749610646,0.2748307492357377,0.44326829390928213,0.0,0.0,0.0,0.6900144002330945,0.31088170843778384,1.4709787432642596,0.0,0.8524889372333108,0.0,0.0,0.0,0.0,0.0,0.26780339617477406,0.11116124402282232,0.5784648598561479,0.0
6168,2.454373909921684,3.125349329847253,1.5346067863087913,1.336179588862448,1.1678619421779575,0.0,0.0,1.0194971449207133,0.0,0.0,0.0,1.6458603512107361,0.5665714998752085,0.0,0.0,0.0,0.0,0.0,1.037671854405503,0.09517262364480528,0.0,1.0219539354491889,1.2488546846930804,0.7152432746661442,0.0,0.0,3.0
6169,0.0,0.533819696838867,0.18634008543670322,0.0,0.9631573147515005,0.0,0.4918120764011208,0.0,0.0,0.0,2.1252244709104064,0.0,0.0,1.5660635509389547,0.0,0.0,1.892354600204378,0.0,0.057783397229532914,0.0,1.210750733520687,0.7040014894406843,0.9206545154393698,0.0,0.26285424672077806,0.5831629213852244,2.0
6170,2.405204847182742,2.9872349522275794,2.0100581918251264,1.5703733789445458,1.6350280580942769,0.0,2.349562397152008,1.7852012952581486,0.0,0.0,0.0,2.5132564111086255,0.9153222053977219,0.0,0.0,0.0,0.0,0.0,0.5730727548446592,0.0,0.0,2.296153613212308,2.778608420302713,2.042162175013653,0.0,0.0,6.0
6171,4.105194110361179,2.958186988700793,0.0,0.0,0.3524550775801541,0.0,0.40191433811490224,0.0,0.0,0.0,0.0,0.7934804576388474,0.0,0.0,0.0,1.1881740452580631,0.14711360944293445,0.0,0.21147104905235475,0.0,0.07856169463384317,0.26630634434770106,0.15689043708006095,0.4025522167097063,0.0,0.30756018893390935,3.0
6172,0.0,0.1416210271106184,0.0,0.0,0.0,0.0,0.028337436783073437,0.48372507716512914,0.30305782797182484,0.09483665845825086,0.0,0.08774879788697224,1.2817899460379363,1.2213516985554658,0.0,1.076100565854944,0.7527114825893503,0.3992094067200638,0.9344079357784886,0.0,0.0,0.0,0.0,0.09239925589404391,0.0,0.0,2.0
6173,0.46698425503589547,0.0,1.4576401427644459,0.0,0.9979674146823757,0.0,0.0,0.36409750366689275,0.5557239891568222,0.0,0.0,1.691915528364362,0.0,0.0,1.7994851431141345,0.0,1.217275295423538,0.0,1.9032593354576568,0.3924486063750019,0.0,0.0,0.5140148557292191,2.3232629604337833,0.0,0.6924966824366778,1.0
6174,4.420520896871683,2.938558664208176,0.0,0.011999449457500724,0.0,0.6260248801340733,0.0,0.0,0.8927639484144927,0.8053255842073731,0.0,1.6743935497762354,0.0,0.0,0.0,1.249167531730003,0.0,1.2001441680788727,0.0,0.9656260967631785,1.3611988643750983,0.0,0.0,0.1368556047116128,0.0,0.24912559357069655,3.0
6175,0.0,0.0,0.0,0.8405342247395646,2.300069864285727,0.0,0.6058813973865996,0.0,0.0,0.0,0.7526841975190766,0.3561400061657695,0.0,1.5882548591876902,0.38998375547658387,1.748186787028588,0.0,0.0,0.3222718385899822,0.0,0.9377427359952655,0.6836356129003885,0.6938871868800118,0.0,0.0,1.135697525655907,0.0
6176,1.7358174333457224,0.0,0.9383845842764198,0.0,0.0,0.40362629710464737,0.0,0.0,0.5141440080223255,0.0,0.5824375656445041,0.0,0.2507861380984611,0.0,2.821927310091465,0.0,0.20788442180286854,0.1905064781595916,0.0,0.6099120351222713,0.10717256203740631,0.0,0.45669785683403874,0.0,0.040608168084458086,0.0,1.0
