gene_id,Cell type,9JD4 B Memory,9JD4 B Naive,9JD4 Basophils LD,9JD4 CD4+ effector,9JD4 CD8 activated,9JD4 MAIT,9JD4 mDCs,9JD4 Monocytes C,9JD4 Monocytes NC+I,9JD4 Naive T cells,9JD4 Neutrophils LD,9JD4 NK,9JD4 pDCs,9JD4 Plasmablasts,9JD4 VD2-,9JD4 VD2+,925L B Memory,925L B Naive,925L Basophils LD,925L CD4+ effector,925L CD8 activated,925L MAIT,925L mDCs,925L Monocytes C,925L Monocytes NC+I,925L Naive T cells,925L Neutrophils LD,925L NK,925L pDCs,925L Plasmablasts,925L VD2-,925L VD2+,DZQV B Memory,DZQV B Naive,DZQV Basophils LD,DZQV CD4+ effector,DZQV CD8 activated,DZQV MAIT,DZQV mDCs,DZQV Monocytes C,DZQV Monocytes NC+I,DZQV Naive T cells,DZQV Neutrophils LD,DZQV NK,DZQV pDCs,DZQV Plasmablasts,DZQV VD2-,DZQV VD2+,G4YW B Memory,G4YW B Naive,G4YW Basophils LD,G4YW CD4+ effector,G4YW CD8 activated,G4YW MAIT,G4YW mDCs,G4YW Monocytes C,G4YW Monocytes NC+I,G4YW Naive T cells,G4YW Neutrophils LD,G4YW NK,G4YW pDCs,G4YW Plasmablasts,G4YW VD2-,G4YW VD2+
FAM157A,Neutrophils LD,0.712078733,0.8673474227,0.7472,2.1816237531,0.3704766453,0.9161,0.2258,10.0818,10.64075,0.8292934742,81.9037,2.0336,0.0678,0.1071,0.0992,0.3688,3.4981823355,1.210034901,0.2643,1.0007767632,0.8034639105,0.7363,0.6187,4.9413,5.6089684211,1.4741425574,63.1254,0.1743,0.0672,0.0545,0.191,0.3271,1.101847185,2.5215494556,0.459,0.3003064495,0.0964301338,0.2518,0.7196,11.6494,6.8964725806,0.9181522957,92.9526,0.3978,0.3407,0.0232,0.0499,0.1319,0.2218875598,0.7551684848,0.738,0.6440500308,0.2051262152,0.0613,0.0399,5.6255,3.6600608187,0.745686287,82.2861,0.3596,0.2237,0.1941,0.167,0
FAM157B,Neutrophils LD,0,1.5243278351,1.1204,1.3965747698,1.3704251e-7,0.8701,0.9496,1.3575,0.925105042,0.6451219711,25.1363,0.6749,0,0.3611,0.1518,1.3803,0.8703548903,0.9206287216,0.7114,0.7611891388,0.4457617241,1.6959,0,5.4286,3.8640657895,4.0781640656,16.3841,0.6847,0.1156,0,0.6276,0,1.0819495979,1.1054944986,1.4883,0.9518602304,0.4345282455,0,0,0.9578,0.2090435484,1.1188521539,21.7517,0.7993,0.6711,0.2251,0.9297,0.623,0.2297679426,1.9713660606,0.5145,0.4003604194,0.5164665408,0.6719,0.7129,5.0331,3.0522181287,0.8451571405,40.4695,0.5251,1.2324,0.1646,0.5991,0.3121
FAM160A1,pDCs,0.0055746606,0.1015910653,5.3333,0.5691137962,0,0.9816,9.0518,0,2.7641096639,0.5181166711,0.7314,1.3898,51.6811,0,0,0,0,0.004136471,11.1365,1.3650696882,0,0,6.2761,0,0.0845526316,1.7087797377,0,0,20.4108,0,0,0,0.2576211796,0.1063579943,15.7879,0.4339696199,0,2.0915,7.7665,0,1.4746177419,1.0423127814,0.3074,0,59.6377,0,0,0.2772,0,0.2337654545,18.5215,0.9686970397,0,1.4454,5.3946,0,1.0892429825,0.1962753132,0.0301,0,44.1749,0,0,0.0318
FAM198B,Monocytes C,0.8573312217,1.5975061856,0,0.0382580014,0,0,15.8507,76.5094,44.134969328,0,0.0783,0,0.2716,0,0,0,5.1165069354,1.8964807274,0.1781,0.0030553675,0,0,11.1155,101.6079,32.716315789,0.0516141639,0.2332,0.3429,4.8927,0.3089,0,0,9.1710091153,11.015090487,0,0.000613528,0.1068169945,0,19.1191,104.8263,45.682351613,0,0.7258,0.3725,0.4139,0.5414,0,0,4.678377512,7.000259596,0.0375,0.0046448229,0,0,24.4688,122.2237,39.534439474,0,1.1114,0.2021,2.8296,1.3839,0,0.0268
FAM213A,pDCs,2.9297126697,7.2341164948,0.8455,4.239667169,1.3901868702,5.9554,3.0276,3.6137,0.9135705882,14.69872371,0.8538,2.4611,94.1698,0.2081,4.8495,5.3126,5.3180196206,4.8160735614,0.7303,4.7799584039,4.376383614,10.3437,3.4432,4.2127,0.7011052632,13.119028197,0.5077,3.6876,116.5759,0.1862,3.1227,10.9515,9.7221147453,7.5894469341,0.5649,5.3054945438,2.4477944925,6.0914,3.6516,3.3957,1.0075967742,15.765204804,0.2444,2.9574,89.0143,0.6762,3.6708,6.7371,3.4119397129,8.4258086869,0.8348,4.1825667786,3.2569004955,6.7818,4.2949,3.8167,0.7347269006,8.5619707533,1.5804,2.7849,89.2809,1.032,2.7891,8.7146
FAM221B,pDCs,0.6544556561,1.7883319588,2.3911,1.7129760256,0.5129369276,0.3474,5.041,1.0949,2.4615558824,1.6448882678,2.8672,0.9856,46.891,0.1592,0.4198,0.8958,0.686048607,2.4657159165,2.5617,1.2256231255,1.2250003518,2.1073,2.3947,1.7191,1.9155078947,1.5805861639,1.7527,1.7771,28.1981,0.2048,2.6034,1.312,1.4725458445,1.0497553009,4.9587,2.6639786717,2.8084413061,1.46,3.174,2.5805,1.1547354839,2.0275392838,1.4563,3.0652,20.5249,0.1155,1.3458,0.5329,1.0763827751,0.7846664646,3.6951,1.0426635442,2.7920655498,1.7054,3.3929,2.5689,1.0268254386,0.3344784533,2.1622,1.8984,45.5776,0.139,1.0947,2.1989
FBLN2,mDCs,3.6896588235,15.120346392,0,0.1368943966,3.4882716396,0.0289,42.0015,0,0.392892437,9.2873178167,0,2.1365,0.6965,0,8.3305,0.9525,0.2060155305,3.9874410515,0,0,0.7724302589,0,21.4809,0.0934,1.8259631579,8.5502971148,0,1.2345,3.2024,0,0.9031,0,1.010608311,13.818578395,0,0.4668638194,0.3061228167,0,18.0635,0,1.7941709677,4.8580258288,0,11.4272,0,0,1.7437,0,0.2081110048,8.3881458586,0,0.3788578565,2.1320907739,0,24.9099,0.1058,0.6860090643,14.5287692,0,2.1731,2.4971,0,4.6266,1.2961
FBLN7,CD4+ effector,0.228160181,0.105332646,0.6304,24.483633776,0.1950733629,2.3046,0.1176,0.142,0.146687395,8.1558861148,0.216,0.1828,0.066,0.0334,0.0672,1.3251,0.0824412567,0.3051501548,0.4268,28.048949206,0.0881597638,1.5012,0.0617,0,0.1768947368,6.3054828197,0,0.1612,0.2282,0.109,0.1153,0.2112,0.1557723861,0.1134033238,0.2547,25.303810264,0.7664083399,1.652,0.0811,0.1236,0.0794274194,14.72481599,0.1805,0.5687,0.8307,0.1207,0.2479,0.0378,0.3098665072,0.2632353535,0.3868,24.187169033,0.3157721567,0.1469,0.1043,0.0745,0.1701076023,10.040241139,0.3186,0.1713,0.0929,0.0131,0.1515,0.4033
FCAR,Neutrophils LD,4.3371714932,8.6335817869,3.07,1.5964139457,0.6943009683,0.6343,2.5439,185.4739,97.413659664,2.3012281448,400.1266,1.9405,1.0073,0.3513,1.1336,2.1539,3.4664066983,5.095499856,1.8868,1.4502457461,1.2639457653,1.4262,1.8953,161.2395,12.383410526,2.3394662295,480.106,2.9292,0.3815,2.1578,1.3747,1.0868,31.551117158,47.05208384,1.6349,1.8781855119,0.9985690008,0.9502,7.0701,319.5302,134.87767419,1.3673449743,572.2885,2.205,1.5993,4.8218,1.3294,0.927,14.806460766,9.4217634343,3.5307,1.3995830193,1.062929731,1.7163,6.4596,210.6531,105.48198392,1.0006704359,358.6273,1.4107,0.371,3.7239,0.9025,1.0547
FCER2,B Naive,54.493417647,398.0849921,0.4205,0.0999831719,0,0,2.7477,4.9748,2.6240403361,0.2329195016,1.5003,0.2193,0,11.0309,0,0,145.64004185,507.3494854,0.7868,0.2186902895,0,0,4.8609,6.4958,1.0338105263,0.3548152787,0.7573,0.497,0,21.6083,0,0.328,127.31871367,388.83588034,0,0.0179559595,0,0.3285,4.6781,3.9251,1.8087580645,0.4787932636,0.2524,0.8813,0,13.2283,0,0.1241,55.240995694,283.23594485,0,0.0932516412,0,0,0.2477,2.5003,2.2525473684,0.0629237348,2.0971,0,0.4806,6.5447,0,0
